id	hotel	is_canceled	lead_time	arrival_date_year	arrival_date_month	arrival_date_week_number	arrival_date_day_of_month	stays_in_weekend_nights	stays_in_week_nights	adults	children	babies	meal	country	market_segment	distribution_channel	is_repeated_guest	previous_cancellations	previous_bookings_not_canceled	reserved_room_type	assigned_room_type	booking_changes	deposit_type	agent	company	days_in_waiting_list	customer_type	adr	required_car_parking_spaces	total_of_special_requests	reservation_status	reservation_status_date
1	Resort Hotel	0	342	2015	July	27	1	0	0	2	0	0	BB	PRT	Direct	Direct	0	0	0	C	C	3	No Deposit	NULL	NULL	0	Transient	0	0	0	Booking-Changed	7/1/2015 12:00:00 AM
2	Resort Hotel	0	737	2015	July	27	1	0	0	2	0	0	BB	PRT	Direct	Direct	0	0	0	C	C	4	No Deposit	NULL	NULL	0	Transient	0	0	0	Booking-Changed	7/1/2015 12:00:00 AM
3	Resort Hotel	0	7	2015	July	27	1	0	1	1	0	0	BB	GBR	Direct	Direct	0	0	0	A	C	0	No Deposit	NULL	NULL	0	Transient	75	0	0	Check-Out	7/2/2015 12:00:00 AM
4	Resort Hotel	0	13	2015	July	27	1	0	1	1	0	0	BB	GBR	Corporate	Corporate	0	0	0	A	A	0	No Deposit	304	NULL	0	Transient	75	0	0	Check-Out	7/2/2015 12:00:00 AM
5	Resort Hotel	0	14	2015	July	27	1	0	2	2	0	0	BB	GBR	Online TA	TA/TO	0	0	0	A	A	0	No Deposit	240	NULL	0	Transient	98	0	1	Check-Out	7/3/2015 12:00:00 AM
6	Resort Hotel	0	14	2015	July	27	1	0	2	2	0	0	BB	GBR	Online TA	TA/TO	0	0	0	A	A	0	No Deposit	240	NULL	0	Transient	98	0	1	Check-Out	7/3/2015 12:00:00 AM
7	Resort Hotel	0	0	2015	July	27	1	0	2	2	0	0	BB	PRT	Direct	Direct	0	0	0	C	C	0	No Deposit	NULL	NULL	0	Transient	107	0	0	Check-Out	7/3/2015 12:00:00 AM
8	Resort Hotel	0	9	2015	July	27	1	0	2	2	0	0	FB	PRT	Direct	Direct	0	0	0	C	C	0	No Deposit	303	NULL	0	Transient	103	0	1	Check-Out	7/3/2015 12:00:00 AM
9	Resort Hotel	1	85	2015	July	27	1	0	3	2	0	0	BB	PRT	Online TA	TA/TO	0	0	0	A	A	0	No Deposit	240	NULL	0	Transient	82	0	1	Canceled	5/6/2015 12:00:00 AM
10	Resort Hotel	1	75	2015	July	27	1	0	3	2	0	0	HB	PRT	Offline TA/TO	TA/TO	0	0	0	D	D	0	No Deposit	15	NULL	0	Transient	105.5	0	0	Canceled	4/22/2015 12:00:00 AM
11	Resort Hotel	1	23	2015	July	27	1	0	4	2	0	0	BB	PRT	Online TA	TA/TO	0	0	0	E	E	0	No Deposit	240	NULL	0	Transient	123	0	0	Canceled	6/23/2015 12:00:00 AM
12	Resort Hotel	0	35	2015	July	27	1	0	4	2	0	0	HB	PRT	Online TA	TA/TO	0	0	0	D	D	0	No Deposit	240	NULL	0	Transient	145	0	0	Check-Out	7/5/2015 12:00:00 AM
13	Resort Hotel	0	68	2015	July	27	1	0	4	2	0	0	BB	USA	Online TA	TA/TO	0	0	0	D	E	0	No Deposit	240	NULL	0	Transient	97	0	3	Check-Out	7/5/2015 12:00:00 AM
14	Resort Hotel	0	18	2015	July	27	1	0	4	2	1	0	HB	ESP	Online TA	TA/TO	0	0	0	G	G	1	No Deposit	241	NULL	0	Transient	154.77	0	1	Booking-Changed	7/5/2015 12:00:00 AM
15	Resort Hotel	0	37	2015	July	27	1	0	4	2	0	0	BB	PRT	Online TA	TA/TO	0	0	0	E	E	0	No Deposit	241	NULL	0	Transient	94.71	0	0	Check-Out	7/5/2015 12:00:00 AM
16	Resort Hotel	0	68	2015	July	27	1	0	4	2	0	0	BB	IRL	Online TA	TA/TO	0	0	0	D	E	0	No Deposit	240	NULL	0	Transient	97	0	3	Check-Out	7/5/2015 12:00:00 AM
17	Resort Hotel	0	37	2015	July	27	1	0	4	2	0	0	BB	PRT	Offline TA/TO	TA/TO	0	0	0	E	E	0	No Deposit	8	NULL	0	Contract	97.5	0	0	Check-Out	7/5/2015 12:00:00 AM
18	Resort Hotel	0	12	2015	July	27	1	0	1	2	0	0	BB	IRL	Online TA	TA/TO	0	0	0	A	E	0	No Deposit	240	NULL	0	Transient	88.2	0	0	Check-Out	7/2/2015 12:00:00 AM
19	Resort Hotel	0	0	2015	July	27	1	0	1	2	0	0	BB	FRA	Corporate	Corporate	0	0	0	A	G	0	No Deposit	NULL	110	0	Transient	107.42	0	0	Check-Out	7/2/2015 12:00:00 AM
20	Resort Hotel	0	7	2015	July	27	1	0	4	2	0	0	BB	GBR	Direct	Direct	0	0	0	G	G	0	No Deposit	250	NULL	0	Transient	153	0	1	Check-Out	7/5/2015 12:00:00 AM
21	Resort Hotel	0	37	2015	July	27	1	1	4	1	0	0	BB	GBR	Online TA	TA/TO	0	0	0	F	F	0	No Deposit	241	NULL	0	Transient	97.29	0	1	Check-Out	7/6/2015 12:00:00 AM
22	Resort Hotel	0	72	2015	July	27	1	2	4	2	0	0	BB	PRT	Direct	Direct	0	0	0	A	A	1	No Deposit	250	NULL	0	Transient	84.67	0	1	Booking-Changed	7/7/2015 12:00:00 AM
23	Resort Hotel	0	72	2015	July	27	1	2	4	2	0	0	BB	PRT	Direct	Direct	0	0	0	A	A	1	No Deposit	250	NULL	0	Transient	84.67	0	1	Booking-Changed	7/7/2015 12:00:00 AM
